Aberdeen,9.6,19.8,629,0.5,0.33,0.33,4.2,4.2,0.2,1772,1849,1635
Barnsley,13.7,78.5,279,0.48,0.48,0.48,10.5,10.5,0.4,532,774,630
Bath,6.3,28.2,788,0.55,0.55,0.42,5.5,4.5,1.16,2133,1821,1974
Birmingham,88.7,31,486,0.75,0.63,0.5,7.1,7.3,0.31,874,809,838
Blackburn,11.8,29.1,403,1,0.68,0.5,9,9,0.29,758,606,649
Blackpool,8.9,28,730,0.5,0.5,0.5,6.6,6.6,0.73,1989,1726,1886
Bolton,31.3,66.2,324,0.5,0.5,0.48,4.5,4.5,0.77,550,683,680
Bristol,41.7,33.2,539,0.5,0.5,0.42,7.3,7.6,0.88,1478,1339,1396
Bury,10.6,65.1,325,0.75,0.5,0.5,6.1,10.4,0.28,431,619,610
Cardiff,7.5,13.6,868,0.56,0.56,0.5,8.3,8.5,0.38,1647,1896,1946
Coventry,25.3,41.3,497,0.75,0.63,0.63,8.5,8.5,0.7,828,997,1033
Darlington,4.8,24,575,0.5,0.5,0.45,7.3,4.2,0.49,1358,1320,1359
Dewsbury,2.5,16.9,513,0.75,0.5,0.5,10,10,0.26,1041,1224,1136
Dundee,13.4,27.8,431,0.65,0.52,0.48,6.8,6.8,0.05,661,603,534
Exeter,6.9,33.6,681,0.75,0.5,0.5,8,8.2,0.95,1370,1728,1899
Halifax,20.4,71.1,352,0.5,0.5,0.43,5.8,6,2.52,1052,1275,974
Hove,3.1,18.6,1301,0.5,0.5,0.42,9,9,0.28,2205,3061,3332
Huddersfield,34.6,82.9,313,0.5,0.5,0.46,4.8,4.8,1.28,804,808,725
Ipswich,6,22.3,733,0.5,0.45,0.45,8.6,8.6,0.71,1939,1944,2188
Leeds,60.6,45.6,413,0.5,0.5,0.5,7.2,7.2,0.3,896,881,844
Leicester,30.7,40.6,455,0.5,0.5,0.5,9.2,9.2,1.59,1697,1411,1337
Lincoln,7.8,47.3,432,0.75,0.75,0.65,8.2,8.2,1.57,808,904,853
Liverpool/Bootle,26.7,14.7,715,0.5,0.5,0.5,7.4,7.6,1.07,1900,1815,2017
Manchester,56.4,26.4,501,0.5,0.5,0.5,9.7,9.7,0.67,1314,1295,1299
Motherwell/Wishaw,10.3,68.8,293,0.75,0.5,0.5,9.8,9.1,1.26,608,962,778
Newport,1.3,4.7,1422,0.75,0.75,0.75,11,11,0.64,2026,3124,3107
Paisley,18.5,81.9,300,0.75,0.63,0.63,6.8,7,0.86,555,503,568
Plymouth,6.5,11.2,731,0.9,0.5,0.5,6.7,7.3,0.14,1811,1571,1412
Reading,2.6,9.6,1055,0.5,0.5,0.5,7.2,7.8,0.87,2427,2561,3044
Rochdale,7.9,27.9,394,0.5,0.5,0.5,9.4,9.4,1.82,1304,1338,1164
Salford,38.5,64.8,335,0.65,0.65,0.65,8.5,8.7,1.17,704,704,690
South Shields,2.2,7.3,698,0.75,0.75,0.75,9,9,0.03,798,1153,772
Stockport,8.6,23.2,566,0.5,0.5,0.5,6.9,6.9,0.14,853,1190,1062
Stockton-on-Tees,2.2,13.2,705,0.75,0.75,0.5,8.1,8.1,0.39,1394,1228,1174
Stoke-on-Trent,5.5,8,614,0.38,0.38,0.38,6.7,6.7,0.33,2040,1745,1728
Sunderland,17.4,45.9,375,0.5,0.5,0.33,6,6,0.92,920,907,885
Tynemouth,1.3,7.5,1017,0.65,0.65,0.55,7.6,7.6,0.03,673,1980,1264
Wakefield,5.3,35.9,393,0.6,0.5,0.5,9.1,9.1,0.95,782,1088,1027
Wallasey,2.2,9,1422,0.5,0.5,0.5,7.5,7.5,0.17,3183,3258,3265
West Bromwich,10.6,55.1,323,0.75,0.5,0.5,8.3,8.5,0.45,632,751,701
West Hartlepool,7.6,43.1,444,0.75,0.5,0.37,8.3,8.3,0.53,767,1059,1045
Wolverhampton,8.9,21.7,524,0.6,0.5,0.5,8.9,8.3,0.51,1877,1271,1280
